record_date,bid_to_cover_ratio_bills,bid_to_cover_ratio_long,bid_to_cover_ratio_medium,bid_to_cover_ratio_short,offering_amt_bills,offering_amt_long,offering_amt_medium,offering_amt_short,total_accepted_bills,total_accepted_long,total_accepted_medium,total_accepted_short,total_tendered_bills,total_tendered_long,total_tendered_medium,total_tendered_short,comp_accepted_bills,comp_accepted_long,comp_accepted_medium,comp_accepted_short,comp_tendered_bills,comp_tendered_long,comp_tendered_medium,comp_tendered_short,primary_dealer_accepted_bills,primary_dealer_accepted_long,primary_dealer_accepted_medium,primary_dealer_accepted_short,primary_dealer_tendered_bills,primary_dealer_tendered_long,primary_dealer_tendered_medium,primary_dealer_tendered_short,indirect_bidder_accepted_bills,indirect_bidder_accepted_long,indirect_bidder_accepted_medium,indirect_bidder_accepted_short,indirect_bidder_tendered_bills,indirect_bidder_tendered_long,indirect_bidder_tendered_medium,indirect_bidder_tendered_short,direct_bidder_accepted_bills,direct_bidder_accepted_long,direct_bidder_accepted_medium,direct_bidder_accepted_short,direct_bidder_tendered_bills,direct_bidder_tendered_long,direct_bidder_tendered_medium,direct_bidder_tendered_short
1980-10,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,3909090909.090909,1500000000.0,3000000000.0,4500000000.0,3936741818.181818,1501000000.0,3204500000.0,4735000000.0,6818855000.0,2369000000.0,7471500000.0,8920000000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1980-11,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,3980000000.0,2125000000.0,3750000000.0,4500000000.0,4021014500.0,2410084500.0,4252000000.0,4735000000.0,8044909000.0,4373442000.0,6951000000.0,8920000000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1980-12,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,3954545454.5454545,2125000000.0,3125000000.0,4500000000.0,4053037272.7272725,2410084500.0,3371150000.0,4861940000.0,7548763181.818182,4373442000.0,8285918000.0,10311692500.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-01,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4161538461.5384617,1500000000.0,2500000000.0,4500000000.0,4182923076.923077,1500900000.0,2701994000.0,4861940000.0,7568499230.769231,4142417000.0,6508754000.0,10311692500.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-02,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4290000000.0,2375000000.0,3750000000.0,4500000000.0,4394690500.0,2802838000.0,4602280000.0,5088730000.0,8719108500.0,5290653000.0,8469455000.0,9361045000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-03,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4190000000.0,2375000000.0,3375000000.0,4750000000.0,4229384000.0,2802838000.0,3606716000.0,5444562500.0,8677921500.0,5290653000.0,7520583500.0,10610670000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-04,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4266666666.6666665,1750000000.0,2750000000.0,4250000000.0,4288270000.0,1750102000.0,2967027000.0,4512920000.0,8160415416.666667,2900022000.0,5529202000.0,5470350000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-05,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4000000000.0,1875000000.0,3000000000.0,4250000000.0,4006275000.0,2175741500.0,3681135000.0,4512920000.0,7758769444.444445,5081737000.0,10264565000.0,5470350000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-06,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4090909090.909091,1875000000.0,3125000000.0,4250000000.0,4092492272.7272725,2175741500.0,3280408500.0,4606815000.0,7874415909.090909,5081737000.0,6456963500.0,11457987500.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
1981-07,3.245274096842432,2.6778501926782274,2.659286666666667,2.845170394036209,4054545454.5454545,1750000000.0,3000000000.0,4500000000.0,4056380909.090909,1751115000.0,3450992000.0,4852650000.0,7971810000.0,3553200000.0,5706697000.0,10380825000.0,38583895803.04677,18408830614.135223,35581412914.363205,31731190257.07547,132601812699.80878,46429313583.36478,94094095339.48112,95517580324.37106,19499801967.12101,5297622574.080189,11099013721.493711,12881164964.386793,102940262217.98596,28885927983.805035,60244371030.93553,65253002965.09434,16708611038.427084,10504069925.05503,19236649277.523586,14722039345.794024,22321670394.777348,13010674293.742136,24402473009.253147,21553272345.911953,2375480551.317184,2607138115.0,5245749915.345913,4127985946.894654,7339877840.863975,4532711305.81761,9447251299.292454,8711305013.36478
